Structure,,,,,,,,Case 1,,,,,,,Difference,,,,,
element,type,node_i,node_j,length,axial_force,,,element,type,node_i,node_j,length,axial_force,,element,type,node_i,node_j,length,axial_force
1,3d_frame,1,2,26,50.4745954,,,1,3d_frame,1,2,26,426.7932482,,1,3d_frame,1,2,26,376.3186528
2,3d_frame,2,3,26,51.20887284,,,2,3d_frame,2,3,26,423.6915957,,2,3d_frame,2,3,26,372.4827229
3,3d_frame,3,4,26,120.3260228,,,3,3d_frame,3,4,26,492.8753942,,3,3d_frame,3,4,26,372.5493714
4,3d_frame,4,5,26,120.6643376,,,4,3d_frame,4,5,26,493.2128699,,4,3d_frame,4,5,26,372.5485323
5,3d_frame,5,6,26,143.6679416,,,5,3d_frame,5,6,26,516.2166936,,5,3d_frame,5,6,26,372.548752
6,3d_frame,6,7,26,143.6679416,,,6,3d_frame,6,7,26,516.2166936,,6,3d_frame,6,7,26,372.548752
7,3d_frame,7,8,26,120.6643376,,,7,3d_frame,7,8,26,493.2128699,,7,3d_frame,7,8,26,372.5485323
8,3d_frame,8,9,26,120.3260228,,,8,3d_frame,8,9,26,492.8753942,,8,3d_frame,8,9,26,372.5493714
9,3d_frame,9,10,26,51.20887284,,,9,3d_frame,9,10,26,423.6915957,,9,3d_frame,9,10,26,372.4827229
10,3d_frame,10,11,26,50.4745954,,,10,3d_frame,10,11,26,426.7932482,,10,3d_frame,10,11,26,376.3186528
11,3d_frame,12,13,26,-0.045607895,,,11,3d_frame,12,13,26,250.2435362,,11,3d_frame,12,13,26,250.2891441
12,3d_frame,13,14,26,-89.45158475,,,12,3d_frame,13,14,26,161.795915,,12,3d_frame,13,14,26,251.2474997
13,3d_frame,14,15,26,-90.02185767,,,13,3d_frame,14,15,26,161.2043561,,13,3d_frame,14,15,26,251.2262137
14,3d_frame,15,16,26,-135.007329,,,14,3d_frame,15,16,26,116.2200556,,14,3d_frame,15,16,26,251.2273846
15,3d_frame,16,17,26,-135.2030915,,,15,3d_frame,16,17,26,116.0242749,,15,3d_frame,16,17,26,251.2273665
16,3d_frame,17,18,26,-135.2030915,,,16,3d_frame,17,18,26,116.0242749,,16,3d_frame,17,18,26,251.2273665
17,3d_frame,18,19,26,-135.007329,,,17,3d_frame,18,19,26,116.2200556,,17,3d_frame,18,19,26,251.2273846
18,3d_frame,19,20,26,-90.02185767,,,18,3d_frame,19,20,26,161.2043561,,18,3d_frame,19,20,26,251.2262137
19,3d_frame,20,21,26,-89.45158475,,,19,3d_frame,20,21,26,161.795915,,19,3d_frame,20,21,26,251.2474997
20,3d_frame,21,22,26,-0.045607895,,,20,3d_frame,21,22,26,250.2435362,,20,3d_frame,21,22,26,250.2891441
21,3d_frame,23,24,26,50.4745954,,,21,3d_frame,23,24,26,426.7932482,,21,3d_frame,23,24,26,376.3186528
22,3d_frame,24,25,26,51.20887284,,,22,3d_frame,24,25,26,423.6915957,,22,3d_frame,24,25,26,372.4827229
23,3d_frame,25,26,26,120.3260228,,,23,3d_frame,25,26,26,492.8753942,,23,3d_frame,25,26,26,372.5493714
24,3d_frame,26,27,26,120.6643376,,,24,3d_frame,26,27,26,493.2128699,,24,3d_frame,26,27,26,372.5485323
25,3d_frame,27,28,26,143.6679416,,,25,3d_frame,27,28,26,516.2166936,,25,3d_frame,27,28,26,372.548752
26,3d_frame,28,29,26,143.6679416,,,26,3d_frame,28,29,26,516.2166936,,26,3d_frame,28,29,26,372.548752
27,3d_frame,29,30,26,120.6643376,,,27,3d_frame,29,30,26,493.2128699,,27,3d_frame,29,30,26,372.5485323
28,3d_frame,30,31,26,120.3260228,,,28,3d_frame,30,31,26,492.8753942,,28,3d_frame,30,31,26,372.5493714
29,3d_frame,31,32,26,51.20887284,,,29,3d_frame,31,32,26,423.6915957,,29,3d_frame,31,32,26,372.4827229
30,3d_frame,32,33,26,50.4745954,,,30,3d_frame,32,33,26,426.7932482,,30,3d_frame,32,33,26,376.3186528
31,3d_frame,34,35,26,-0.045607895,,,31,3d_frame,34,35,26,250.2435362,,31,3d_frame,34,35,26,250.2891441
32,3d_frame,35,36,26,-89.45158475,,,32,3d_frame,35,36,26,161.795915,,32,3d_frame,35,36,26,251.2474997
