Structure,,,,,,,,Case 1,,,,,,,Difference,,,,,
element,type,node_i,node_j,length,axial_force,,,element,type,node_i,node_j,length,axial_force,,element,type,node_i,node_j,length,axial_force
1,3d_frame,1,2,26,-389.1743096,,,1,3d_frame,1,2,26,-12.52901602,,1,3d_frame,1,2,26,-376.6452936
2,3d_frame,2,3,26,-211.4181605,,,2,3d_frame,2,3,26,161.2373921,,2,3d_frame,2,3,26,-372.6555526
3,3d_frame,3,4,26,-87.95580452,,,3,3d_frame,3,4,26,284.6364967,,3,3d_frame,3,4,26,-372.5923013
4,3d_frame,4,5,26,1.211480516,,,4,3d_frame,4,5,26,373.7980445,,4,3d_frame,4,5,26,-372.586564
5,3d_frame,5,6,26,48.71351948,,,5,3d_frame,5,6,26,421.297038,,5,3d_frame,5,6,26,-372.5835185
6,3d_frame,6,7,26,87.23331499,,,6,3d_frame,6,7,26,459.8168335,,6,3d_frame,6,7,26,-372.5835185
7,3d_frame,7,8,26,127.7304441,,,7,3d_frame,7,8,26,500.3170081,,7,3d_frame,7,8,26,-372.586564
8,3d_frame,8,9,26,122.396167,,,8,3d_frame,8,9,26,494.9884683,,8,3d_frame,8,9,26,-372.5923013
9,3d_frame,9,10,26,123.7661025,,,9,3d_frame,9,10,26,496.4216551,,9,3d_frame,9,10,26,-372.6555526
10,3d_frame,10,11,26,46.44015428,,,10,3d_frame,10,11,26,423.0854479,,10,3d_frame,10,11,26,-376.6452936
12,3d_frame,13,14,26,-23.10916576,,,12,3d_frame,13,14,26,227.1670222,,12,3d_frame,13,14,26,-250.276188
13,3d_frame,14,15,26,10.2324297,,,13,3d_frame,14,15,26,261.4664903,,13,3d_frame,14,15,26,-251.2340606
14,3d_frame,15,16,26,61.50826832,,,14,3d_frame,15,16,26,312.7029164,,14,3d_frame,15,16,26,-251.1946481
15,3d_frame,16,17,26,88.43301641,,,15,3d_frame,16,17,26,339.6271171,,15,3d_frame,16,17,26,-251.1941007
16,3d_frame,17,18,26,98.39305718,,,16,3d_frame,17,18,26,349.5871579,,16,3d_frame,17,18,26,-251.1941007
17,3d_frame,18,19,26,95.92261616,,,17,3d_frame,18,19,26,347.1172642,,17,3d_frame,18,19,26,-251.1946481
