Structure,,,,,,,,,Case 2,,,,,,,,,Difference (in ft),,,,,,
node,ux,uy,uz,rx,ry,rz,,,node,ux,uy,uz,rx,ry,rz,,,node,ux,uy,uz,rx,ry,rz
1,0,0,0,0,0,0,,,1,0,0,0,0,0,0,,,1,0,0,0,0,0,0
2,-0.007026758,-0.033654138,0.012031579,0.010001961,-0.000397883,-0.001410703,,,2,-0.020685388,-0.053402246,0.021322507,0.016593991,-0.000252524,-0.002878134,,,2,0.01365863,0.019748108,-0.009290928,-0.00659203,-0.000145359,0.001467431
3,-0.010844031,-0.075598084,0.014701302,0.011311679,-8.36E-05,-0.001478116,,,3,-0.030652959,-0.143231971,0.004139877,0.013707652,0.000816163,-0.003535512,,,3,0.019808928,0.067633887,0.010561425,-0.002395973,-0.000899763,0.002057396
4,-0.012432122,-0.115886425,0.01940574,0.012021693,-0.000149391,-0.001299029,,,4,-0.031985396,-0.239599563,-0.015241301,0.019669256,0.000770564,-0.003400677,,,4,0.019553274,0.123713138,0.034647041,-0.007647563,-0.000919955,0.002101648
5,-0.012410248,-0.147056525,0.021802738,0.01243548,2.77E-05,-0.000895503,,,5,-0.031445844,-0.32445362,-0.034518078,0.020517248,0.00082809,-0.002955081,,,5,0.019035596,0.177397095,0.056320816,-0.008081768,-0.00080039,0.002059578
6,-0.011530698,-0.165086147,0.019184439,0.012748029,8.06E-05,-0.000351305,,,6,0.002611761,-0.352639717,-0.064599001,0.023001556,-0.000525283,0.001108405,,,6,-0.014142459,0.18755357,0.08378344,-0.010253527,0.000605883,-0.00145971
7,-0.009955652,-0.167057266,0.017200489,0.012490913,0.000200643,0.000279018,,,7,0.004545304,-0.321509417,-0.053024078,0.021039988,-0.000263676,0.001559269,,,7,-0.014500956,0.154452151,0.070224567,-0.008549075,0.000464319,-0.001280251
8,-0.007649408,-0.151265659,0.008559745,0.012311116,0.000238633,0.000966345,,,8,0.00726356,-0.271612527,-0.048565063,0.020219238,-0.000299974,0.002354368,,,8,-0.014912968,0.120346868,0.057124808,-0.007908122,0.000538607,-0.001388023
9,-0.005439477,-0.116942079,0.004139901,0.011417163,0.000177646,0.001570308,,,9,0.010291713,-0.20086054,-0.037880491,0.01858831,-0.000391606,0.003017887,,,9,-0.01573119,0.083918461,0.042020392,-0.007171147,0.000569252,-0.001447579
10,-0.003204811,-0.06523331,-0.001387936,0.010387538,4.41E-05,0.002583241,,,10,0.013132279,-0.109093459,-0.024919476,0.016662283,-0.000935271,0.004473614,,,10,-0.01633709,0.043860149,0.02353154,-0.006274745,0.000979371,-0.001890373
11,-0.002366309,0,0,0,0,0,,,11,0.014617737,0,0,0,0,0,,,11,-0.016984046,0,0,0,0,0
13,-0.012577944,-0.461151985,0.012196939,0.010286992,-0.000127953,0.000597861,,,13,-0.014674523,-0.814956864,0.021225929,0.016660967,0.000581891,0.000690299,,,13,0.002096579,0.353804879,-0.00902899,-0.006373975,-0.000709844,-9.24377E-05
14,-0.013078642,-0.442571994,0.014451084,0.011342907,-0.00013994,0.000629619,,,14,-0.014015711,-0.776625476,0.003645629,0.019106535,0.000722601,0.00128786,,,14,0.000937069,0.334053482,0.010805455,-0.007763628,-0.000862541,-0.000658241
15,-0.012856939,-0.432444547,0.019270076,0.011795824,-0.000129436,0.00030954,,,15,-0.012614036,-0.755416472,-0.0152929,0.019606684,0.000763314,0.000566004,,,15,-0.000242903,0.322971925,0.034562976,-0.00781086,-0.00089275,-0.000256464
16,-0.01152426,-0.4282911,0.021745002,0.012087265,2.78E-05,0.000104553,,,16,-0.010369696,-0.742534886,-0.034540506,0.02007679,0.001043146,0.000474968,,,16,-0.001154564,0.314243786,0.056285508,-0.007989525,-0.001015346,-0.000370415
17,-0.009608212,-0.428228905,0.01891316,0.012310055,8.33E-05,-2.82E-05,,,17,-0.004825171,-0.733580077,-0.065692021,0.020669165,-0.000142233,0.000161761,,,17,-0.004783041,0.305351172,0.084605181,-0.00835911,0.000225533,-0.000189961
18,-0.007476362,-0.430403479,0.017174292,0.012076308,0.000191182,-0.00012619,,,18,-0.002104348,-0.730060003,-0.053009228,0.020529019,-0.000381425,0.000104259,,,18,-0.005372014,0.299656524,0.07018352,-0.008452711,0.000572607,-0.000230449
19,-0.005398039,-0.434678765,0.008341447,0.011964522,0.000238386,-0.000225634,,,19,-0.000172501,-0.726433017,-0.048759459,0.019914353,-0.000251458,2.59E-05,,,19,-0.005225538,0.291754252,0.057100906,-0.007949831,0.000489844,-0.00025149
20,-0.004435421,-0.441655963,0.003964537,0.011293264,0.000143938,-0.000421584,,,20,0.000307739,-0.726856623,-0.038159934,0.018667539,-0.000508539,-0.000263789,,,20,-0.00474316,0.28520066,0.042124471,-0.007374275,0.000652477,-0.000157795
21,-0.003934318,-0.453281499,-0.001339626,0.01052935,0.000117563,-0.000257096,,,21,-0.000209934,-0.73560156,-0.02468173,0.017182654,-0.000517045,-0.000243902,,,21,-0.003724384,0.282320061,0.023342104,-0.006653304,0.000634608,-1.31939E-05
23,0,0,0,0,0,0,,,23,0,0,0,0,0,0,,,23,0,0,0,0,0,0
24,0.005009497,-0.033521499,0.061958588,0.010011084,-0.002763728,-0.001406022,,,24,0.015153986,-0.052277629,0.076328793,0.016665425,-0.003864614,-0.002871453,,,24,-0.010144489,0.01875613,-0.014370205,-0.006654341,0.001100886,0.001465431
25,0.006782098,-0.075376316,0.122685974,0.011328459,-0.00184867,-0.001475225,,,25,0.019520391,-0.142909117,0.168328668,0.013749043,-0.002725911,-0.003531655,,,25,-0.012738293,0.067532801,-0.045642694,-0.002420584,0.000877241,0.00205643
26,0.003581544,-0.115573968,0.166736352,0.012043739,-0.001353564,-0.001296987,,,26,0.016041033,-0.239280527,0.230640245,0.0196982,-0.00199086,-0.003444049,,,26,-0.012459489,0.123706559,-0.063903893,-0.007654461,0.000637296,0.002147062
27,-0.001242356,-0.146715186,0.194823349,0.012460948,-0.000777721,-0.000894502,,,27,0.01071825,-0.324593777,0.274512657,0.020538584,-0.001488854,-0.002802184,,,27,-0.011960606,0.177878591,-0.079689308,-0.008077636,0.000711133,0.001907682
28,-0.00783765,-0.164713945,0.20778424,0.012774417,-8.06E-05,-0.000351305,,,28,-0.014520551,-0.352747784,0.296849753,0.023037876,0.000494998,0.00087386,,,28,0.006682901,0.188033839,-0.089065513,-0.010263459,-0.000575598,-0.001225165
29,-0.015128439,-0.166715927,0.199425599,0.01251638,0.000549413,0.000278018,,,29,-0.022147494,-0.321160673,0.272951675,0.021064363,0.001093233,0.001621028,,,29,0.007019055,0.154444746,-0.073526076,-0.008547983,-0.00054382,-0.00134301
30,-0.02223671,-0.150953201,0.177582347,0.012333162,0.001264321,0.000964302,,,30,-0.029673827,-0.271299434,0.237199418,0.02024133,0.001822611,0.002338576,,,30,0.007437117,0.120346233,-0.059617071,-0.007908168,-0.00055829,-0.001374274
31,-0.029235285,-0.116720312,0.133247376,0.011433943,0.001754666,0.001567417,,,31,-0.037496131,-0.200638636,0.176937586,0.018605106,0.002357084,0.003017951,,,31,0.008260846,0.083918324,-0.04369021,-0.007171163,-0.000602418,-0.001450534
32,-0.033514623,-0.065100671,0.075378104,0.010396661,0.003117473,0.00257856,,,32,-0.042382926,-0.1089607,0.099743064,0.016671414,0.004135097,0.004468319,,,32,0.008868303,0.043860029,-0.02436496,-0.006274753,-0.001017624,-0.001889759
33,-0.036370387,0,0,0,0,0,,,33,-0.045887132,0,0,0,0,0,,,33,0.009516745,0,0,0,0,0
35,-0.02826658,-0.461312416,0.061247139,0.010296978,-0.001985471,0.000593167,,,35,-0.043097684,-0.816201662,0.074475108,0.016742483,-0.003305617,0.000633885,,,35,0.014831104,0.354889246,-0.013227969,-0.006445505,0.001320146,-4.07181E-05
36,-0.023491943,-0.442888292,0.122926829,0.01136113,-0.001993354,0.000625679,,,36,-0.032225449,-0.779147337,0.168804932,0.019214504,-0.003007358,0.001309958,,,36,0.008733506,0.336259045,-0.045878103,-0.007853374,0.001014004,-0.000684279
37,-0.019412414,-0.432838793,0.166266187,0.011819765,-0.00129799,0.000306921,,,37,-0.022221439,-0.756027384,0.230084553,0.019638608,-0.001853348,0.00058513,,,37,0.002809025,0.323188591,-0.063818366,-0.007818843,0.000555358,-0.000278209
38,-0.014299261,-0.428766206,0.194877273,0.012114921,-0.000779117,0.000103243,,,38,-0.017960177,-0.743357856,0.274523812,0.020100376,-0.001527659,0.00044115,,,38,0.003660916,0.31459165,-0.079646539,-0.007985455,0.000748542,-0.000337907
39,-0.009760136,-0.428702518,0.207446564,0.012338709,-8.33E-05,-2.82E-05,,,39,-0.006640143,-0.736207264,0.295934609,0.020763951,0.000470099,0.000215866,,,39,-0.003119993,0.307504746,-0.088488045,-0.008425242,-0.000553399,-0.000244066
40,-0.005436811,-0.430878585,0.199447983,0.012103964,0.000560158,-0.00012488,,,40,-0.002725164,-0.730493567,0.272927717,0.020555913,0.001093757,0.000146553,,,40,-0.002711647,0.299614982,-0.073479734,-0.008451949,-0.000533599,-0.000271433
41,-0.001069303,-0.435073011,0.177194816,0.011988462,0.00118904,-0.000223015,,,41,0.001794149,-0.726828336,0.236789106,0.019938348,0.001725079,1.88E-05,,,41,-0.002863452,0.291755325,-0.05959429,-0.007949886,-0.000536039,-0.00024186
42,0.002269311,-0.441972261,0.133413376,0.011311487,0.001989355,-0.000417643,,,42,0.005619414,-0.727173269,0.177207389,0.018685778,0.002670684,-0.000257752,,,42,-0.003350103,0.285201008,-0.043794013,-0.007374291,-0.000681329,-0.000159891
43,0.006042146,-0.45344193,0.074783704,0.010539336,0.001995861,-0.000252402,,,43,0.010415227,-0.73576214,0.098960009,0.017192649,0.002661981,-0.000239904,,,43,-0.004373081,0.28232021,-0.024176305,-0.006653313,-0.00066612,-1.24976E-05
