element,type,node_i,node_j,length,axial_force
1,3d_frame,1,2,26.0,-12.529016015344006
2,3d_frame,2,3,26.0,161.23739209992743
3,3d_frame,3,4,26.0,284.6364967457562
4,3d_frame,4,5,26.0,373.79804447704095
5,3d_frame,5,6,26.0,421.29703796817
6,3d_frame,6,7,26.0,459.8168334705922
7,3d_frame,7,8,26.0,500.3170081075509
8,3d_frame,8,9,26.0,494.9884682643383
9,3d_frame,9,10,26.0,496.42165511152734
10,3d_frame,10,11,26.0,423.0854478736014
12,3d_frame,13,14,26.0,227.16702221330732
13,3d_frame,14,15,26.0,261.46649025869834
14,3d_frame,15,16,26.0,312.7029163800667
15,3d_frame,16,17,26.0,339.62711713628494
16,3d_frame,17,18,26.0,349.58715791000736
17,3d_frame,18,19,26.0,347.11726421509206
18,3d_frame,19,20,26.0,295.66255361600224
19,3d_frame,20,21,26.0,273.40404988212185
21,3d_frame,23,24,26.0,654.0943773490366
22,3d_frame,24,25,26.0,470.83034792872047
23,3d_frame,25,26,26.0,195.33087801900774
24,3d_frame,26,27,26.0,105.41668288264736
25,3d_frame,27,28,26.0,7.305736558311764
26,3d_frame,28,29,26.0,-31.214058944108956
27,3d_frame,29,30,26.0,-21.102280747849818
28,3d_frame,30,31,26.0,-15.021093499561175
29,3d_frame,31,32,26.0,135.64608491713216
30,3d_frame,32,33,26.0,218.47991346010144
32,3d_frame,35,36,26.0,470.6440828231982
33,3d_frame,36,37,26.0,439.5199985143545
34,3d_frame,37,38,26.0,487.18630633799125
35,3d_frame,38,39,26.0,460.6921961257042
36,3d_frame,39,40,26.0,450.7321553519762
37,3d_frame,40,41,26.0,452.7719585029604
38,3d_frame,41,42,26.0,405.32393515704075
39,3d_frame,42,43,26.0,424.4070551543732
41,3d_frame,1,23,15.5,0.0
42,3d_frame,2,24,15.5,133.351176397558
43,3d_frame,3,25,15.5,136.73313031449834
44,3d_frame,4,26,15.5,142.37339571523808
45,3d_frame,5,27,15.5,144.1679966763022
46,3d_frame,6,28,15.5,146.07815511624358
47,3d_frame,7,29,15.5,144.16799667629857
48,3d_frame,8,30,15.5,142.37339571523262
49,3d_frame,9,31,15.5,136.7331303144956
50,3d_frame,10,32,15.5,133.35117639755754
51,3d_frame,11,33,15.5,0.0
53,3d_frame,13,35,15.5,129.71514096003375
54,3d_frame,14,36,15.5,92.2944371264166
55,3d_frame,15,37,15.5,88.64063669597454
56,3d_frame,16,38,15.5,84.25263950028238
57,3d_frame,17,39,15.5,84.33282561744636
58,3d_frame,18,40,15.5,84.25263950027147
59,3d_frame,19,41,15.5,88.6406366959709
60,3d_frame,20,42,15.5,92.2944371263984
61,3d_frame,21,43,15.5,129.71514096000828
64,3d_frame,2,13,20.0,148.1778099819583
65,3d_frame,3,14,20.0,134.1370112486439
66,3d_frame,4,15,20.0,137.56799557824158
67,3d_frame,5,16,20.0,140.7937202610033
68,3d_frame,6,17,20.0,132.71077098176391
69,3d_frame,7,18,20.0,141.92917868960953
70,3d_frame,8,19,20.0,134.59316813617465
71,3d_frame,9,20,20.0,136.83178195627002
72,3d_frame,10,21,20.0,143.9640319695585
75,3d_frame,24,35,20.0,116.61267334319746
76,3d_frame,25,36,20.0,151.8156614782656
77,3d_frame,26,37,20.0,125.52592896666465
78,3d_frame,27,38,20.0,144.8135123885695
79,3d_frame,28,39,20.0,130.32048448191563
80,3d_frame,29,40,20.0,143.67805395996038
81,3d_frame,30,41,20.0,128.50075640873274
82,3d_frame,31,42,20.0,149.12089077063774
83,3d_frame,32,43,20.0,120.8264513555971
85,3d_truss,1,13,32.802438933713454,-30.88751298903616
86,3d_truss,13,3,32.802438933713454,-0.0403871403251007
87,3d_truss,3,15,32.802438933713454,17.37755438790157
88,3d_truss,15,5,32.802438933713454,-13.063564840768692
89,3d_truss,5,17,32.802438933713454,8.059066380189416
90,3d_truss,17,7,32.802438933713454,12.024322480218055
91,3d_truss,7,19,32.802438933713454,-20.731151084136552
92,3d_truss,19,9,32.802438933713454,34.51858283945309
93,3d_truss,9,21,32.802438933713454,-25.588113899788663
94,3d_truss,21,11,32.802438933713454,6.999717516042579
95,3d_truss,23,35,32.802438933713454,192.81301506533745
96,3d_truss,35,25,32.802438933713454,-122.02210098368762
97,3d_truss,25,37,32.802438933713454,76.51600857913853
98,3d_truss,37,27,32.802438933713454,-36.359708455944244
99,3d_truss,27,39,32.802438933713454,14.281258212282575
100,3d_truss,39,29,32.802438933713454,10.316002112261831
101,3d_truss,29,41,32.802438933713454,-28.69212221258159
102,3d_truss,41,31,32.802438933713454,59.374980127590014
103,3d_truss,31,43,32.802438933713454,-96.47437422421658
104,3d_truss,43,33,32.802438933713454,154.9257845602489
105,3d_truss,1,24,30.26962173533062,-64.45750217874931
106,3d_truss,23,2,30.26962173533062,173.99697795315723
107,3d_truss,2,25,30.26962173533062,-26.74162006005676
108,3d_truss,24,3,30.26962173533062,146.02525450542367
109,3d_truss,3,26,30.26962173533062,-12.725386923884782
110,3d_truss,25,4,30.26962173533062,109.36953418603741
111,3d_truss,4,27,30.26962173533062,6.150566279311604
112,3d_truss,26,5,30.26962173533062,90.9871122059657
113,3d_truss,5,28,30.26962173533062,16.663604196717305
114,3d_truss,27,6,30.26962173533062,72.99827223169115
115,3d_truss,6,29,30.26962173533062,28.450648787752243
116,3d_truss,28,7,30.26962173533062,61.21122764065606
117,3d_truss,7,30,30.26962173533062,44.530068505882475
118,3d_truss,29,8,30.26962173533062,52.60760997939635
119,3d_truss,8,31,30.26962173533062,58.908335397639505
120,3d_truss,30,9,30.26962173533062,37.735811864514574
121,3d_truss,9,32,30.26962173533062,91.53991890920092
122,3d_truss,31,10,30.26962173533062,27.743715536167333
123,3d_truss,10,33,30.26962173533062,111.74364050926904
124,3d_truss,32,11,30.26962173533062,-2.2041647348596145
127,3d_truss,13,36,30.26962173533062,57.546148023913965
128,3d_truss,35,14,30.26962173533062,91.95376078081962
129,3d_truss,14,37,30.26962173533062,52.091650984009966
130,3d_truss,36,15,30.26962173533062,94.147467306085
131,3d_truss,15,38,30.26962173533062,63.02291216568627
132,3d_truss,37,16,30.26962173533062,100.70547988121928
133,3d_truss,16,39,30.26962173533062,69.56318469474567
134,3d_truss,38,17,30.26962173533062,93.84112519810436
135,3d_truss,17,40,30.26962173533062,78.6969724481003
136,3d_truss,39,18,30.26962173533062,84.70733744474865
137,3d_truss,18,41,30.26962173533062,87.4786405388518
138,3d_truss,40,19,30.26962173533062,76.24975150805099
139,3d_truss,19,42,30.26962173533062,84.87157371224046
140,3d_truss,41,20,30.26962173533062,61.367544577850666
141,3d_truss,20,43,30.26962173533062,87.14866207041109
142,3d_truss,42,21,30.26962173533062,62.351246734316426
