element,type,node_i,node_j,length,axial_force
1,3d_truss,1,2,3000.0,220.83333333333314
2,3d_truss,1,3,5000.0,-284.72222222222234
3,3d_truss,2,3,4000.0,0.0
4,3d_truss,2,4,3000.0,220.83333333333314
5,3d_truss,3,5,3000.0,-204.1666666666667
6,3d_truss,3,4,5000.0,-27.77777777777787
7,3d_truss,4,5,4000.0,22.222222222222197
8,3d_truss,4,6,3000.0,204.16666666666666
9,3d_truss,5,6,5000.0,-340.2777777777778
10,3d_truss,7,8,3000.0,220.83333333333314
11,3d_truss,7,9,5000.0,-284.72222222222234
12,3d_truss,8,9,4000.0,0.0
13,3d_truss,8,10,3000.0,220.83333333333314
14,3d_truss,9,11,3000.0,-204.1666666666667
15,3d_truss,9,10,5000.0,-27.77777777777787
16,3d_truss,10,11,4000.0,22.222222222222197
17,3d_truss,10,12,3000.0,204.1666666666667
18,3d_truss,11,12,5000.0,-340.2777777777779
19,3d_truss,1,7,6000.0,0.0
20,3d_truss,2,8,6000.0,0.0
21,3d_truss,3,9,6000.0,0.0
22,3d_truss,4,10,6000.0,0.0
23,3d_truss,5,11,6000.0,0.0
24,3d_truss,6,12,6000.0,0.0
25,3d_truss,2,10,6708.203932499369,0.0
